X,Y,OBJECTID,CNES,NOME,CAP,EQUIPES,ENDERECO,BAIRRO,TELEFONE,EMAIL,HORARIO_SEMANA,HORARIO_SABADO,TIPO_ABC,TIPO_UNIDADE,DATA_INAUGURACAO,Flg_Ativo,CNES_,GlobalID
-4827288.5254,-2631435.981,766,2270609,SMS HOSPITAL MUNICIPAL LOURENCO JORGE- AP 40,40,24 - BARRA DA TIJUCA,"AV AYRTON SENNA, 2000",BARRA DA TIJUCA,(21)31114612,hmljorge@rio.rj.gov.br,24h,24h,-,HOSPITAL,2004/04/15 03:00:00+00,,2270609,749329af-3143-4731-b049-39eee224fb44
-4852745.147,-2631066.3259,767,2270315,SMS CMS MAIA BITTENCOURT - AP 52,52,26 - GUARATIBA,"ESTRADA DO MATO ALTO, 5609",GUARATIBA,(21)24108990,ger.fazendamodelo.cap52@iabas.org.br,7 às 18h,8 às 12h,B,CMS,1998/08/04 03:00:00+00,,2270315,c05f1dc1-312d-4693-9a88-3a097263c7ae
-4819775.9521,-2616157.3872,768,2273225,SMS CMS ARIADNE LOPES DE MENEZES - AP 32,32,12 - INHAUMA,"RUA ENG CARLOS GONCALVES PENNA, S/N",ENGENHO DA RAINHA,(21) 3111-6755,cfariadne@gmail.com,7 às 18h,8 às 12h,B,CMS,1976/10/11 03:00:00+00,,2273225,8f068758-a3b7-468d-8b9e-3a3c20c66d75
-4841270.8382,-2614290.5382,769,2270439,SMS CMS HENRIQUE MONAT - AP 51,51,17 - BANGU,"ESTRADA DO QUAFA, 7",BANGU,3468-3421,monatcap5.1vb@gmail.com,7 às 17h,8 às 12h,C,CMS,1986/11/05 02:00:00+00,,2270439,9ad6ab41-3aa5-4ed4-82de-3a9700e6e7b5
-4807291.9245,-2609143.8334,770,7856962,SMS CMS PAULINO WERNECK - AP 31,31,20 - ILHA DO GOVERNADOR,"ESTRADA DA CACUIA, 745",CACUIA,+55 21 2467-7048,cmspaulinowerneck@vivario.org.br,7 às 17h,-,C,CMS,2016/02/23 03:00:00+00,Inativo,7856962,358ce263-3990-419f-b6d1-3afd0e719242
-4857882.993,-2622637.7802,771,2280760,SMS CMS MARIA APARECIDA DE ALMEIDA - AP 53,53,19 - SANTA CRUZ,"PRACA ANTONIO MATTOS AREAS, S/N",PACIENCIA,(21)34840891,cmsmaa.cap53@gmail.com,7 às 18h,7 às 12h,B,CMS,1987/01/10 02:00:00+00,,2280760,da569e1a-52c6-422d-ac25-3b2cca3f035f
-4823501.4631,-2628863.2311,772,7892829,SMS CF HELENA BESSERMAN VIANNA - AP 40,40,16 - JACAREPAGUA,"VIA LIGHT, S/N",JACAREPAGUA, ,cfhelenabv@gmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2016/03/05 03:00:00+00,,7892829,42e7a9f5-340c-494c-8a08-3b3ebed69bb7
-4820709.3073,-2620426.2151,773,9101764,SMS CF AMELIA DOS SANTOS FERREIRA - AP 32,32,13 - MEIER,"RUA POMPILIO DE ALBUQUERQUE, 386",AGUA SANTA,3437-0636,cfameliaferreira@gmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2016/12/16 02:00:00+00,,9101764,3c5ad746-a42c-4313-974b-3b7dc09e6273
-4817137.4738,-2616551.6369,774,2270471,SMS POLICLINICA RODOLPHO ROCCO - AP 32,32,12 - INHAUMA,"ESTRADA ADHEMAR BEBIANO, 339",INHAUMA,(21) 3884-6418,pamrrocco@rio.rj.gov.br,24h,24h,-,POLICLINICA,1982/09/03 03:00:00+00,,2270471,81c95a14-caf8-4791-983b-3ba8cf6e077d
-4814798.4631,-2614121.666,775,2295032,SMS CMS MARIA CRISTINA ROMA PAUGARTTEN - AP 31,31,10 - RAMOS,"RUA JOAQUIM GOMES, S/N",RAMOS,(21)38670569,cmsmariacristina@vivario.org.br,7 às 18h,8 às 12h,B,CMS,1949/12/30 02:00:00+00,,2295032,1f38464c-337a-45b1-8734-3c1440744078
-4862441.3118,-2621873.9725,776,7118376,SMS CAPS AD JULIO CESAR DE CARVALHO - AP 53,53,19 - SANTA CRUZ,"RUA SEVERIANO DAS CHAGAS, 196",SANTA CRUZ,(21) 31569277, ,8 às 20h,8 às 12h,-,CAPS,2012/10/15 03:00:00+00,,7118376,a001fc74-a271-46c6-a402-3cf89a2111f9
-4863947.933,-2629142.2796,777,2295253,SMS CF WALDEMAR BERARDINELLI - AP 53,53,19 - SANTA CRUZ,"RUA FREDERICO TROTA, S/N",SEPETIBA,(21) 331581024,cfwb.cap53@gmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2013/01/10 02:00:00+00,,2295253,a0346c43-f43b-4b82-938e-3d1bb55a37ed
-4811843.3326,-2609651.3027,778,2269724,SMS HOSPITAL MUNICIPAL NOSSA SENHORA DO LORETO - AP - 31,31,20 - ILHA DO GOVERNADOR,"RUA TAIFEIRO OSMAR DE MORAES, 26",GALEAO,(21)33931983/0610,hmnsloreto@rio.rj.gov.br,24h,24h,-,HOSPITAL,1950/12/10 02:00:00+00,,2269724,78b88c97-a57e-4f8b-8a35-3ddc590391d7
-4866617.5986,-2618689.0658,779,2269929,SMS CMS CATTAPRETA - AP 53,53,19 - SANTA CRUZ,"RUA ENGENHEIRO JOSE BOANERGES CESAR, S/N",SANTA CRUZ,(21)31581734,cmscp.cap53@gmail.com,7 às 18h,7 às 12h,B,CMS,1987/06/13 03:00:00+00,,2269929,9c3e8e45-48de-4058-8099-3f187b71644f
-4816970.3643,-2610575.2862,780,3784959,SMS CMS JOAO CANDIDO - AP 31,31,11 - PENHA,"AV. LOBO JR., 83",PENHA CIRCULAR,(02)12584-2083,usfjoaocandido@vivario.org.br,7 às 17h,-,B,CMS,2010/12/18 02:00:00+00,,3784959,138054ee-a931-4e68-b68a-3f354ac6c5dd
-4808296.4656,-2620696.7813,781,5483107,SMS NUCLEO DE SAUDE DO TRABALHADOR NUSAT 1 - AP 10,10,2 - CENTRO,"AVENIDA PRESIDENTE VARGAS, 1997",CENTRO,22214269,gttrabalhador@rio.rj.gov.br,8 às 17h,-,-,CENTRO DE REFERENCIA,2007/09/14 03:00:00+00,,5483107,486e21de-f535-42e5-9669-42e3799cd45d
-4812028.7593,-2609179.2666,782,6804209,SMS CF ASSIS VALENTE - AP 31,31,20 - ILHA DO GOVERNADOR,"EST. DAS CANARIAS COM AV. BRAS CRISPIN (PRACA), S/N",GALEAO,(21) 98498-3173,cfassisvalente@vivario.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2011/07/08 03:00:00+00,,6804209,6b926b45-c91d-4602-9947-43efbd6d3df9
-4814893.7702,-2612569.7254,783,7060335,SMS CAPSI VISCONDE DE SABUGOSA - AP 31,31,30 - COMPLEXO DA MARE,"AV.GUANABARA, S/N",MARE,21 38849635,capsiviscondesabugosa@gmail.com,8 às 17h,-,-,CAPS,2012/07/21 03:00:00+00,,7060335,a1623dff-f927-4a9a-aaf9-45ba0a0e997e
-4816123.6951,-2619842.3283,784,6688152,SMS CF IZABEL DOS SANTOS - AP 32,32,13 - MEIER,"RUA DOIS DE MAIO, 220",ENGENHO NOVO,(21) 3297-3998,cfis.rj@hotmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2011/01/26 02:00:00+00,,6688152,761d3794-428b-44b8-8662-45e2ca17b8cd
-4837610.8605,-2616389.217,785,3018091,SMS CAPS LIMA BARRETO - AP 51,51,17 - BANGU,"AVENIDA RIBEIRO DANTAS, 571",BANGU,(21) 3462-5449,capslbarreto@gmail.com,8 às 17h,-,-,CAPS,2007/09/27 03:00:00+00,,3018091,4fed1fa8-dddf-48a2-a576-469cf0c9ff04
-4811711.5724,-2620112.1871,786,9057706,SMS CF ESTIVADORES - AP 10,10,7 - SAO CRISTOVAO,"AVENIDA DO EXERCITO, 99",SAO CRISTOVAO,(21)32174103,cfestivadores@gmail.com,7 às 17h,-,A,CLINICA DA FAMILIA,2016/09/16 03:00:00+00,,9057706,6390a78c-45e0-42a9-acf6-46a516750a59
-4853003.065,-2619823.058,787,6029922,SMS CMS AGUIAR TORRES - AP 52,52,18 - CAMPO GRANDE,"ESTRADA DE INHOAIBA, 849",INHOAIBA,(21)33773456,ger.aguiartorres.cap52@iabas.org.br,7 às 18h,-,B,CMS,2011/06/06 03:00:00+00,,6029922,7be4d0c2-fc0b-46fb-8ae7-47093cc3b48b
-4852468.5527,-2618986.9884,788,7036914,SMS CF ANTONIO GONCALVES VILLA SOBRINHO - AP 52,52,18 - CAMPO GRANDE,"ESTRADA DO CAMPINHO, 2899",CAMPO GRANDE,(21)33943043,ger.agvs.cap52@iabas.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2012/07/05 03:00:00+00,,7036914,ba9943e7-7e3d-4a99-8c44-47218abf9e73
-4820655.2704,-2620408.9618,789,9535896,SMS CAPS II EAT SEVERINO DOS SANTOS - AP 32,32,13 - MEIER,RUA RAMIRO MAGALHAES 521,ENGENHO DE DENTRO,(21)31117454,capseatss@gmail.com,8 às 17h,-,-,CAPS,2016/12/16 02:00:00+00,,9535896,1f3a1b73-68b3-495d-a756-4809366aef62
-4830556.8926,-2624796.9457,790,9071385,SMS CF ARTHUR BISPO DO ROSARIO - AP 40,40,16 - JACAREPAGUA,"RUA SAMPAIO CORREA, S/N",JACAREPAGUA, ,ger.alvaroramos.cap40@iabas.org.br,7 às 18h,8 às 12h,B,CMS,2016/09/29 03:00:00+00,,9071385,063ab13a-cea0-4f8d-8678-486ff4945138
-4820240.9477,-2620054.113,791,2708159,SMS CMR ENG DENTRO - AP 32,32,13 - MEIER,"RUA RAMIRO MAGALHAES, 521",ENGENHO DE DENTRO,3111-7350,cmred@rio.rj.gov.br,7 às 17h,-,-,CMR,2003/01/14 02:00:00+00,,2708159,04a6de33-164b-4691-8f3c-48f638d3d113
-4814861.253,-2631205.8828,792,6506232,SMS CF RINALDO DE LAMARE - AP 21,21,6 - LAGOA,"AV. NIEMEYER, 776",SAO CONRADO,(21) 3324-2487,sfrinaldodelamare@gmail.com,8 às 18h,-,A,CLINICA DA FAMILIA,2010/03/08 03:00:00+00,,6506232,fe6251a8-a528-4266-8346-49c807bfa128
-4834199.1855,-2617609.6105,793,3567486,SMS CASA DE PARTO DAVID CAPISTRANO FILHO - AP 51,51,33 - REALENGO,"AVENIDA PEDRO DA CUNHA, S/N",REALENGO,(21) 34625593,casadeparto@rio.rj.gov.br,24h,24h,-,HOSPITAL,2004/03/08 03:00:00+00,,3567486,90531b0d-f1d2-4524-b9eb-4a66816820e6
-4822725.0602,-2613515.536,794,9128867,SMS CF AMAURY BOTTANY - AP 33,33,14 - IRAJA,"AV MONSENHOR FELIX, 512",IRAJA,97168- 1345,amaurybottany@gmail.com,7 às 18h,-,A,CLINICA DA FAMILIA,2018/03/28 03:00:00+00,,9128867,9dbafb63-6d57-4db9-8e3e-4dac3b58d869
-4840536.5329,-2617809.2514,795,6742831,SMS UPA 24H SENADOR CAMARA - AP 51,51,17 - BANGU,"AVENIDA SANTA CRUZ, 6486",SENADOR CAMARA,21-38393226,upa24hsenadorcamara.riosaude@gmail.com,24h,24h,-,UPA,2011/02/18 02:00:00+00,,6742831,cfa95c07-c60d-42ae-bfac-4db10e6682e7
-4848879.9082,-2622160.0705,796,2270331,SMS POLICLINICA CARLOS ALBERTO NASCIMENTO - AP 52,52,18 - CAMPO GRANDE,"PRACA MAJOR VIEIRA DE MELO, S/N",CAMPO GRANDE,(21)30814735,polcanascimento@gmail.com,7 às 17h,7 às 12h,-,POLICLINICA,1999/11/10 02:00:00+00,,2270331,6edad3b0-9eb4-4996-bdc8-4ec6a92e5199
-4831225.9849,-2618348.4455,797,2270560,SMS CMS MASAO GOTO - AP 51,51,33 - REALENGO,"AV CARLOS PONTES, S/N",JARDIM SULACAP,(21)3357-7273,direcaomasao@gmail.com,7 às 18h,8 às 12h,C,CMS,1987/08/15 03:00:00+00,,2270560,8f838f6b-b665-4ca2-a9be-4edec69f75e7
-4851759.1104,-2621195.2231,798,2270633,SMS CMS MARIO VITOR DE A PACHECO - AP 52,52,18 - CAMPO GRANDE,"AVENIDA CESARIO DE MELO, 5580",INHOAIBA,(21) 3394 3842,psmvapacheco@rio.rj.gov.br,7 às 17h,8 às 12h,C,CMS,1987/02/14 02:00:00+00,,2270633,bebf778b-51f3-4f84-8b78-4f881ce5520e
-4846355.3456,-2617273.8052,799,9307265,SMS CF MARIA JOSE PAPERA DE AZEVEDO - AP 52,52,18 - CAMPO GRANDE,"ESTRADA DA POSSE, S/N",CAMPO GRANDE,(21)35238467,ger.cfmjpa.cap52@iabas.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2017/08/24 03:00:00+00,,9307265,d54438bc-a4d2-4666-90dc-50465ade4119
-4825408.3207,-2620229.6967,800,6927254,SMS CMS NEWTON BETHLEM - AP 40,40,16 - JACAREPAGUA,"RUA BARAO, 260",PRACA SECA,38337052,ger.nb.cap40@iabas.org.br,7 às 18h,8 às 12h,C,CMS,1964/01/28 02:00:00+00,,6927254,d3ff9c77-b91c-4338-83a2-514e7a2749ea
-4824288.1317,-2617207.6316,801,2269937,SMS CMS ALBERTO BORGERTH - AP 33,33,15 - MADUREIRA,"RUA PADRE MANSO, S/N",MADUREIRA,21 30182477,pamaborgerth@rio.rj.gov.br,7 às 18h,-,C,CMS,2001/11/30 02:00:00+00,,2269937,f79c56b4-c37d-4b67-ac9f-518dbf31e290
-4806315.1238,-2626350.7281,802,2288362,SMS INSTITUTO MUNICIPAL PHILIPPE PINEL - AP 21,21,4 - BOTAFOGO,"AV VENCESLAU BRAS, 65",BOTAFOGO,(21)22755694,imppinel@smsdc.rio.rj.gov.br,24h,24h,-,HOSPITAL,1937/01/13 02:00:00+00,,2288362,077cd052-160b-4f22-b1cc-51c12beb36ed
-4825309.8564,-2618696.6037,803,7996675,SMS CF GERSON BERGHER - AP 40,40,16 - JACAREPAGUA,"RUA CANDIDO BENICIO, S/N",PRACA SECA, ,ger.cfgb.cap40@iabas.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2016/12/16 02:00:00+00,,7996675,2dd364b7-b24e-4169-81b1-51f384a719b8
-4856697.1579,-2616728.4578,804,2273616,SMS CMS CYRO DE MELLO MANGUARIBA - AP 53,53,19 - SANTA CRUZ,"AVENIDA DO CANAL, S/N",PACIENCIA,(21)24188065,cmscym.cap53@gmail.com,7 às 18h,7 às 12h,B,CMS,2000/07/31 03:00:00+00,,2273616,2157f1e5-79ca-4ce7-ba46-521d4be2258a
-4810457.648,-2621666.6613,805,7414226,SMS CMS HELIO PELLEGRINO - AP 22,22,8 - TIJUCA,"RUA DO MATOSO, 96",PRACA DA BANDEIRA,25029546,gerencia.hpellegrino@gmail.com,7 às 18h,-,B,CMS,2014/04/28 03:00:00+00,,7414226,b3bad9f3-538f-43d6-bcf6-52cc598db0c5
-4845678.1707,-2621973.9057,806,9715444,SMS CF DR MYRTES AMORELLI GONZAGA - AP 52,52,18 - CAMPO GRANDE,ESTRADA DO LAMEIRAO PEQUENO S/N RIO DA PRATA,CAMPO GRANDE,(21) 33940860,cflameirao@gmail.com,8 às 18h,-,A,CLINICA DA FAMILIA,1982/02/16 03:00:00+00,,9715444,2627cf07-1a7a-475e-ad6f-53c1ece314ed
-4818146.5704,-2610634.3098,807,6664040,SMS CF HEITOR DOS PRAZERES - AP 31,31,11 - PENHA,"RUA IGUAPERIBA, 0",BRAS DE PINA,984404362,cfheitordosprazeres@vivario.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2011/12/01 02:00:00+00,,6664040,88f3cdc2-e3b0-4c09-8b32-53da4da92cae
-4846127.0854,-2616872.7185,808,2270366,SMS CMS MANOEL DE ABREU - AP 52,52,18 - CAMPO GRANDE,"RUA PADRE NOE GUALBERTO, 1",SANTISSIMO,(21)34030971,ger.manoeldeabreu.cap52@iabas.org.br,7 às 18h,7 às 12h,B,CMS,1986/06/14 03:00:00+00,,2270366,5636b1b4-b00f-49e1-87bd-552f201971bf
-4806311.9249,-2626311.9447,809,7884524,SMS CAPS FRANCO BASAGLIA AP 21,21,4 - BOTAFOGO,"AV. VENCESLAU BRAS, 65",BOTAFOGO, , ,24h,24h,-,CAPS,2016/09/13 03:00:00+00,,7884524,387b6246-bbcd-42b3-9b6f-5533dcd7a324
-4828097.1199,-2626035.1892,810,214949,SMS CF LOURIVAL FRANCISCO DE OLIVEIRA AP - 40,40,16 - JACAREPAGUA,AVENIDA COMANDANTE GUARANYS 0 CIDADE DE DEUS,CIDADES DE DEUS, , , , ,A,CLINICA DA FAMILIA,2020/07/01 03:00:00+00,,214949,931c28a3-ac02-4293-9309-56f480d59d24
-4863972.3679,-2628952.2315,811,6926177,SMS UPA 24 H SEPETIBA - AP 53,53,19 - SANTA CRUZ,"RUA RAFAEL FERREIRA, S/N",SEPETIBA, ,upa.sepetiba@gmail.com,24h,24h,-,UPA,2012/01/06 02:00:00+00,,6926177,dee992b6-a1b1-43ce-9e11-581a3f94f368
-4830942.411,-2613619.0524,812,7998678,SMS CF IVANIR DE MELLO - AP 33,33,33 - REALENGO,"ESTRADA MARECHAL ALENCASTRO, S/N",VILA MILITAR,3129-3016,cfivanirdemello@gmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2016/08/26 03:00:00+00,,7998678,3458de13-55b6-434e-a84b-58a45a5dae75
-4851805.7302,-2621299.8524,813,5154197,SMS CF DAVID CAPISTRANO FILHO - AP 52,52,18 - CAMPO GRANDE,"AVENIDA CESARIO DE MELO, S/N",INHOAIBA,(21)3384-1569,ger.dcf.cap52@iabas.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2011/01/07 02:00:00+00,,5154197,b9895500-9955-48ab-b848-58ec86b235e1
-4826717.6289,-2625910.5243,814,4046307,SMS CMS HAMILTON LAND - AP 40,40,34 - CIDADE DE DEUS,"AV EDGARD WERNECK, 1601",CIDADE DE DEUS,(21)34123199,cmshland@rio.rj.gov.br,7 às 17h,8 às 12h,C,CMS,1979/05/20 03:00:00+00,,4046307,bf03d741-0a99-41dc-9f6d-5a1d65cdb910
-4814705.8197,-2618178.1216,815,6421482,SMS UPA 24H MANGUINHOS - AP 31,31,7 - SAO CRISTOVAO,"AV DOM HELDER CAMARA, 1390",BENFICA,2332-2405,upamanguinhos@gmail.com,24h,24h,-,UPA,2009/05/29 03:00:00+00,,6421482,e0d667b6-0ecb-4a48-8af8-5a8c569349cd
-4849380.855,-2620855.6374,816,2295407,SMS HOSPITAL MUNICIPAL ROCHA FARIA - AP 52,52,18 - CAMPO GRANDE,"AV CESARIO DE MELO, 3215",CAMPO GRANDE,(21)2333-6797,fathmrf@gmail.com,24h,24h,-,HOSPITAL,2016/02/15 02:00:00+00,,2295407,92f17187-a11b-42c0-80a5-5a90cc5d83a0
-4812814.727,-2623526.6365,817,2269376,SMS CMS HEITOR BELTRAO - AP 22,22,8 - TIJUCA,"RUA DESEMBARGADOR ISIDRO, 144",TIJUCA,22686642,cmshbeltrao@rio.rj.gov.br,7 às 17h,8 às 12h,B,CMS,1964/07/13 03:00:00+00,,2269376,70283d3b-8868-461b-acbd-5abb5fcf8564
-4814605.0714,-2617373.1586,818,5456932,FIOCRUZ/ENSP/CENTRO DE SAUDE ESCOLA GERMANO SINVAL FARIA,31,10 - RAMOS,"RUA LEOPOLDO BULHOES, 1480",MANGUINHOS,25982519, ,8 às 17h,-,A,CMS,1967/11/13 02:00:00+00,,5456932,a6d6cfb4-cc1a-424f-90b2-5b8c4a8ddd71
-4834928.919,-2616650.6705,819,7722494,SMS CF FAIM PEDRO - AP 51,51,33 - REALENGO,"RUA MARECHAL AGRICOLA, S/N",REALENGO,3462-8486,clinicaffpedro@gmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2015/05/10 03:00:00+00,,7722494,9138f572-07f6-40ef-a08a-5b95486f0a47
-4817718.6168,-2620035.5954,820,2296306,SMS RIO HOSPITAL MUNICIPAL SALGADO FILHO,32,13 - MEIER,"ARQUIAS CORDEIRO, 370",MEIER, , ,24h,24h,-,HOSPITAL,1920/10/12 03:00:00+00,,2296306,b9983675-2d7b-4334-8b87-5cc78bea8351
-4830141.0183,-2624433.1952,821,2273381,SMS HOSPITAL MUNICIPAL JURANDYR MANFREDINI - AP 40,40,16 - JACAREPAGUA,"RUA SAMPAIO CORREIA, S/N",JACAREPAGUA,(21) 3432-2246,hmjmanfredini@pcrj.rj.gov.br,24h,24h,-,HOSPITAL,2002/03/13 03:00:00+00,,2273381,77140672-25fd-461e-901b-5d6b7b7a34c5
-4848898.6198,-2616905.8022,822,2269546,SMS CMS DR OSWALDO VILELLA - AP 52,52,18 - CAMPO GRANDE,"RUA JOMAR MENDES, S/N",CAMPO GRANDE,(21)34072840,cmsovilella@gmail.com,7 às 18h,8 às 12h,B,CMS,1987/06/26 03:00:00+00,,2269546,09fcf771-5dfa-4f8f-b19c-5dcb78671bad
-4864019.4475,-2622185.4959,823,6618855,SMS CF SERGIO AROUCA - AP 53,53,19 - SANTA CRUZ,"RUA DO IMPERIO, S/N",SANTA CRUZ,(21)33651524,cfsa.cap53@gmail.com,7 às 18h,7 às 12h,A,CLINICA DA FAMILIA,2010/08/28 03:00:00+00,,6618855,d25863be-63c5-43fe-b342-5fa7f0528eef
-4823244.5656,-2611550.3738,824,2291266,SMS RIO HOSPITAL MUNICIPAL FRANCISCO DA SILVA TELLES,33,14 - IRAJA,"UBIRAJARA, 25",IRAJA,021 3715070, ,24h,24h,-,HOSPITAL,1983/04/28 03:00:00+00,,2291266,b117807c-7c6a-4364-8095-61029bf60b21
-4828143.2536,-2613744.1367,825,6571956,SMS CF JOSUETE SANTANNA DE OLIVEIRA - AP 33,33,22 - ANCHIETA,"RUA LUIZ COUTINHO CAVALCANTI, S/N",GUADALUPE,21 30150122,cfjosuete@gmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2011/06/10 03:00:00+00,,6571956,0ff5942b-5d42-49b0-a524-629490b769e5
-4807809.1005,-2622498.6403,826,2708426,SMS CMS ERNANI AGRICOLA - AP 10,10,23 - SANTA TERESA,"RUA CONSTANT JARDIM, 8",SANTA TERESA,(21)22247194,cmseagricola@gmail.com,7 às 17h,8 às 12h,C,CMS,1946/04/11 03:00:00+00,,2708426,8f30f2de-e936-4a9d-852e-636801e35707
-4826028.2501,-2627268.0352,827,6927319,SMS CF PADRE JOSE DE AZEVEDO TIUBA - AP 40,40,16 - JACAREPAGUA,"RUA ACAPORI, S/N",GARDENIA AZUL,(21)24262061,ger.pjat.cap40@iabas.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2012/01/11 02:00:00+00,,6927319,e8ed97f9-9f4e-4c3c-852b-638114088ea7
-4834862.9857,-2631165.2911,828,6716598,SMS CF MAURY ALVES DE PINHO - AP 40,40,24 - BARRA DA TIJUCA,"ESTRADA DOS BANDEIRANTES, 11227",VARGEM PEQUENA,34108572,ger.map.cap40@iabas.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2011/02/23 03:00:00+00,,6716598,d4716391-2213-488c-81ae-643f5140db68
-4806421.0104,-2626367.1264,829,7990286,SMS CMS ROCHA MAIA - AP 21,21,4 - BOTAFOGO,"RUA GENERAL SEVERIANO, 91",BOTAFOGO,(21) 2295-2295,sfrochamaiagerencia@gmail.com,8 às 17h,-,B,CMS,2016/09/13 03:00:00+00,,7990286,b7616333-ebf6-4220-99a6-648a0681586e
-4857997.5469,-2617933.6342,830,6618871,SMS CF JAMIL HADDAD - AP 53,53,19 - SANTA CRUZ,"RUA SOLDADO JOAO ROTELO, S/N",PACIENCIA,21)24103178/33541447,cfih.cap53@igmail.com,7 às 18h,7 às 12h,A,CLINICA DA FAMILIA,2010/09/05 03:00:00+00,,6618871,d23bae1f-a2cf-4823-a50c-65afc476fdff
-4831517.0716,-2626811.6795,831,2273349,SMS RIO HOSPITAL RAPHAEL DE PAULA SOUZA,40,16 - JACAREPAGUA,"ESTRADA DE CURICICA, 2000",JACAREPAGUA,21 4450279, ,8 às 17h,-,-,HOSPITAL,2002/03/13 03:00:00+00,,2273349,7778c33d-4dd5-4c5b-9dfc-66046cde4dbc
-4839384.4129,-2617053.7305,832,7041624,SMS HOSPITAL MUNICIPAL DA MULHER MARISKA RIBEIRO - AP 51,51,17 - BANGU,"PRACA 1 DE MAIO, S/N",BANGU,21 37470428,hmmr@cep28.org.br,24h,24h,-,HOSPITAL,2012/06/29 03:00:00+00,,7041624,cc876143-b506-49d2-ae18-666b93061772
-4857482.7507,-2623226.6452,833,2295237,SMS CF JOAO BATISTA CHAGAS - AP 53,53,19 - SANTA CRUZ,"RUA PITOMBEIRAS, S/N",PACIENCIA,(21)34067597,cmsjbc.cap53@gmail.com,7 às 18h,7 às 12h,A,CLINICA DA FAMILIA,2017/06/21 03:00:00+00,,2295237,21f5256d-ac3a-443e-9f2a-6683b93c1ced
-4830619.2994,-2623983.1771,834,2273187,SMS HOSPITAL MUNICIPAL ALVARO RAMOS - AP 40,40,16 - JACAREPAGUA,"RUA ADAUTO BOTELHO, S/N",JACAREPAGUA,(21)33920008,hmaramos@rio.rj.gov.br,24h,24h,-,HOSPITAL,2002/03/13 03:00:00+00,,2273187,d4f4ba3f-fcbc-4bbb-95d2-66d20e362473
-4816675.0955,-2617295.646,835,6820018,SMS CF BARBARA STARFIELD - AP 32,32,12 - INHAUMA,"RUA VOLTA GRANDE, S/N",DEL CASTILHO,(21) 3217-1251,starfield32@gmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2011/07/28 03:00:00+00,,6820018,188be40a-03f0-4770-9fd8-66e149fe1f6f
-4824885.2037,-2617207.9856,836,5417708,SMS CF SOUZA MARQUES - AP 33,33,15 - MADUREIRA,"PRACA PATRIARCA, S/N",MADUREIRA,21 33597500,cfsouzamarques@gmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2012/03/27 03:00:00+00,,5417708,c219ad00-83c3-4b5d-8d16-6737b175b4c0
-4824193.9206,-2628654.3613,837,6927289,SMS CF OTTO ALVES DE CARVALHO - AP 40,40,16 - JACAREPAGUA,"AVENIDA ENGENHEIRO SOUZA FILHO, 200",JACAREPAGUA,(21)34155020,ger.ottoalvesdecarvalho.cap40@iabas.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2012/01/26 02:00:00+00,,6927289,10be4547-3d65-4bce-a90f-67461fa6f72b
-4808058.4187,-2607457.1471,838,6568491,SMS CF MARIA SEBASTIANA DE OLIVEIRA - AP 31,31,20 - ILHA DO GOVERNADOR,"AVENIDA DOS MAGISTERIOS, S/N",TAUA,(21) 2462-4720,cfmariasebastianadeoliveira@vivario.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2011/05/18 03:00:00+00,,6568491,a134acae-37b0-4603-8c54-674d5c685d74
-4817060.738,-2616561.9391,839,6926797,SMS CMS RODOLPHO ROCCO - AP 32,32,12 - INHAUMA,"RUA LAGOA VERDE, S/N",INHAUMA,(21) 3868-4243,cfrodolphorocco@gmail.com,7 às 18h,8 às 12h,B,CMS,2012/04/02 03:00:00+00,,6926797,f1a380d2-430f-4f0f-8309-67a4c9e442e0
-4840450.2647,-2634484.8499,840,2708213,SMS CMS HARVEY RIBEIRO DE SOUZA FILHO - AP 40,40,24 - BARRA DA TIJUCA,"AVENIDA GUIOMAR NOVAES, 133",RECREIO DOS BANDEIRANTES,(21)34182547,cmshribeiro@rio.rj.gov.br,7 às 18h,8 às 12h,B,CMS,1998/05/20 03:00:00+00,,2708213,892a4547-0ad2-446f-b65f-689442e06b91
